,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],sigma_bkg,a_bkg[1],a_bkg[2],a_bkg[3],a_bkg[4],b_bkg[1],b_bkg[2],b_bkg[3],b_bkg[4]
0,-4.09944,0.755734,0.553734,3.0,7.0,0.0,16.1977,-0.192348,-0.00419063,0.110582,-0.00441631,0.119342,-0.106824,-0.0744313,-0.00995033,-0.0495919,-0.258129,-0.00801452,-0.0848163,-0.0421835,-0.112412,-0.127181,-0.020186,0.0491944,-0.0857714
1,-2.52964,0.847437,0.553734,3.0,7.0,0.0,15.3098,-0.338847,0.10552,-0.0801989,-0.0852346,-0.0712364,-0.0322136,0.133884,-0.0697829,0.00647831,-0.518336,0.0249095,0.00465455,0.142995,-0.0291618,-0.0585107,-0.108953,-0.0876078,0.0995483
2,0.631253,0.695731,0.553734,3.0,7.0,0.0,16.3495,0.0389032,0.0246804,-0.0212266,-0.0658698,-0.0420176,-0.0694077,0.130457,-0.0750575,0.0503264,-0.179695,-0.0215666,0.00462121,0.0529934,-0.0956645,-0.0875783,-0.128296,-0.051293,0.0403465
3,0.337383,0.90063,0.553734,3.0,7.0,0.0,6.25864,-0.323746,0.100837,0.0901213,0.0333672,0.0831126,-0.0370694,-0.0717671,-0.0643537,-0.076144,-0.258298,0.0724047,-0.0223305,0.0729787,-0.105759,-0.0702597,0.0039947,-0.00608629,0.0199585
4,-6.81796,0.7543,0.553734,3.0,7.0,0.0,10.5217,0.116466,-0.00606045,-0.0449276,-0.221807,0.0117883,-0.157115,0.0364768,0.0158054,0.00445336,-0.371711,-0.0749986,-0.00168427,0.106686,0.047382,-0.100395,-0.142832,-0.0715658,0.0261448
5,-6.66587,0.980613,0.553734,3.0,7.0,0.0,13.8045,0.00191892,0.0455555,0.0439342,0.099037,0.0550248,0.101541,0.0196879,-0.139571,-0.0689739,-0.198474,0.132212,-0.0892796,0.0669422,-0.174889,-0.109321,0.0892909,0.00906521,0.0467152
6,-7.75015,0.94254,0.553734,3.0,7.0,0.0,15.1614,-0.618023,0.0893822,-0.0123075,-0.173685,-0.00871408,-0.209736,0.0454707,0.0496784,0.0458443,-0.256275,-0.0877503,0.0463798,0.0732071,0.0359124,-0.0867667,-0.119576,-0.0506592,0.0636202
7,-5.62662,0.98377,0.553734,3.0,7.0,0.0,15.5051,0.0544953,0.00785616,-0.0321193,0.0957086,0.00708621,0.0768951,0.0232192,-0.202533,-0.0688934,-0.278623,0.100323,-0.0758031,0.0537701,-0.165192,-0.106557,0.0149946,0.020983,-0.0391085
8,-4.54105,1.0,0.553734,3.0,7.0,0.0,11.9916,-0.179745,0.146255,0.077942,-0.168353,0.0787601,-0.153241,0.0261922,-0.0680322,0.0743073,-0.234016,0.102271,0.0464449,0.0799945,0.00044886,-0.171434,-0.0740481,-0.0972562,0.0785849
9,-4.2875,0.933959,0.553734,3.0,7.0,0.0,12.9715,-0.212528,0.00389085,-0.0444772,0.0119778,-0.0408688,0.0276982,-0.018002,-0.0646759,-0.0873209,-0.290749,-0.0875727,-0.0850126,0.0546288,-0.136367,0.0374333,-0.00723493,0.08114,0.000369436
10,-5.95316,0.904033,0.553734,3.0,7.0,0.0,14.8696,-0.130175,0.00696771,0.0235398,-0.0518514,0.181444,-0.117889,0.0957301,-0.129931,0.0319469,-0.406296,0.158111,-0.0673778,0.0534827,0.0529222,-0.136625,-0.074908,-0.0340756,0.0838467
11,-9.84451,0.945694,0.553734,3.0,7.0,0.0,17.3711,-0.25997,0.12206,-0.00860869,0.0440195,-0.046683,-0.0875014,0.02412,-0.00760125,-0.0527916,-0.172818,-0.117635,-0.0412235,0.0946255,-0.302557,0.0402884,-0.016509,-0.0608073,-0.00104468
12,-9.48391,0.969421,0.553734,3.0,7.0,0.0,19.21,-0.122683,-0.0289136,0.0164213,-0.162368,-0.00565949,0.00273784,0.0511546,-0.149171,-0.00870514,-0.358449,0.1802,-0.0371791,-0.0340329,0.102842,-0.231811,0.0160076,-0.0032669,0.0121174
13,-5.16413,1.0,0.553734,3.0,7.0,0.0,17.2601,-0.238811,0.0237797,0.0214841,-0.110437,0.00820653,0.00857775,-0.0959252,-0.147222,-0.0397197,-0.391955,0.072739,-0.119326,0.0553076,-0.0814222,-0.256348,0.0537686,0.070191,0.0236439
14,-4.55705,0.991368,0.553734,3.0,7.0,0.0,13.0812,-0.277988,0.118652,0.0549945,-0.00868919,0.0142082,-0.133145,0.105227,0.00736265,0.0814315,-0.201996,-0.042257,0.0318103,0.0848116,-0.0779878,0.0638288,-0.147405,-0.0933368,0.0255155
15,-4.07505,1.0,0.553734,3.0,7.0,0.0,8.89378,-0.11277,0.00924256,-0.0353513,-0.0876303,0.0163554,0.0274689,-0.0480121,-0.131906,-0.114452,-0.341557,0.0391876,-0.0775811,0.0312004,-0.0741073,-0.259562,0.0440238,0.0554102,0.0159219
16,-3.18492,0.909034,0.553734,3.0,7.0,0.0,12.5548,-0.271965,0.0815694,0.0421192,-0.0396051,0.00760825,-0.151302,0.0840917,-0.0111135,0.086103,-0.229783,-0.00553463,-0.00333296,0.121743,-0.044963,0.0639777,-0.150743,-0.0565455,0.0356378
17,-2.58924,0.754034,0.553734,3.0,7.0,0.0,13.1665,-0.165529,0.0299844,0.00895091,-0.0990289,-0.0249245,0.0316395,-0.0243417,-0.107955,-0.0235205,-0.0842652,0.0335743,0.0616548,0.0221853,-0.0281918,-0.229612,0.0440327,-0.0574293,0.111592
18,0.39453,0.952944,0.553734,3.0,7.0,0.0,8.18476,-0.142548,0.0898013,0.00764217,-0.00509174,0.0801002,-0.141554,0.00861166,-0.0162641,0.010903,-0.627575,0.0463522,-0.0202321,0.0882976,-0.110965,-0.0786125,-0.00752258,-0.0750034,0.045356
19,0.583176,0.795678,0.553734,3.0,7.0,0.0,10.1035,-0.207342,0.0717697,0.0381236,-0.0310699,-0.0347952,-0.00154858,0.0679137,-0.12839,-0.0254405,0.191621,0.0407664,-0.0315475,0.023302,-0.0893645,-0.10164,-0.0755605,0.0428843,-0.0227973
20,-0.486169,0.904061,0.553734,3.0,7.0,0.0,4.12382,-0.403207,0.0614413,-0.000935984,-0.0152768,0.0730495,-0.0472994,-0.092669,-0.000612104,0.0221757,-0.574605,0.00524868,-0.0864975,0.104791,-0.103856,-0.0873629,0.00054636,-0.0281339,0.0607466
21,-1.9824,0.857607,0.553734,3.0,7.0,0.0,9.61779,-0.3226,0.0770186,0.0260644,-0.0765822,-0.0416129,-0.0531814,0.124837,-0.107958,-0.0426202,0.072708,0.138443,0.0636777,0.0114412,-0.0631665,-0.0839869,-0.1352,-0.0307469,-0.0287221
22,1.40593,1.0,0.553734,3.0,7.0,0.0,4.22569,-0.153517,0.000187346,0.0438508,-0.0653296,0.0268881,0.0076133,-0.0288531,-0.0687518,-0.030673,-0.232663,-0.0408377,-0.00731959,0.0794812,-0.0893312,-0.18933,-0.0455604,0.00319128,0.0671384
23,-0.506468,0.773325,0.553734,3.0,7.0,0.0,4.79152,-0.281706,0.123618,-0.068794,-0.0661635,0.0183176,-0.142256,0.0876877,-0.121306,0.0399305,-0.171237,0.108446,-0.0925013,0.022097,-0.0869581,-0.0628561,-0.0368305,-0.0170309,0.0143874
24,-6.34818,0.585694,0.553734,2.0,3.0,0.0,12.1467,-0.173731,0.0723544,-0.0119277,-0.0697977,0.0405986,-0.253993,0.0401517,-0.213877,-0.0455948,-0.261824,-0.0471662,-0.117425,-0.00973883,-0.116033,0.00820554,-0.0600573,-0.037408,0.0104986
25,-3.86797,0.912399,0.553734,3.0,7.0,0.0,16.7158,-0.458105,0.0298564,0.0431405,-0.0381451,0.0207341,0.109222,0.0308827,0.0414543,0.0216848,-0.499077,0.0873099,0.0435547,0.080663,-0.0281509,-0.198875,-0.0724139,-0.00531698,0.00221946
26,-3.92628,0.795544,0.553734,3.0,7.0,0.0,16.519,-0.288779,0.0102607,0.104348,-0.0303422,0.0504287,0.0575689,0.00857296,0.106643,0.0775004,-0.2915,0.0726393,-0.0314594,0.0283896,-0.0605347,-0.158587,-0.116844,-0.0365902,0.0665404
27,-7.59206,0.933984,0.553734,3.0,7.0,0.0,13.638,-0.172796,0.169044,0.0578473,-0.0777504,0.00593533,-0.0991306,0.103404,-0.219295,-0.133402,-0.107757,-0.0255113,0.0535576,0.1047,-0.168763,0.0182329,0.043312,-0.0194173,0.00864496
28,-7.87994,0.99194,0.553734,3.0,7.0,0.0,14.2181,-0.032467,-0.0412183,-0.0692507,0.0159072,-0.0221797,-0.00988071,-0.0653673,0.082415,0.102314,-0.392807,0.0529218,-0.1096,0.0448958,0.0282703,-0.212258,-0.150472,-0.0249727,0.049709
29,-5.6652,0.970338,0.553734,3.0,7.0,0.0,14.0756,-0.105426,0.00689357,-0.105165,0.0181617,-0.0228744,-0.0527311,0.011807,0.065534,-0.0617209,-0.117036,0.0339691,-0.138873,0.0625508,-0.00786827,-0.218581,-0.151818,-0.0658139,0.0216522
30,-2.34532,0.968667,0.553734,3.0,7.0,0.0,13.293,-0.311351,-0.0126773,0.0673976,-0.0852929,0.097077,-0.0445281,-0.0250172,0.0622432,0.0411373,-0.495175,0.0496688,-0.0338701,0.134151,-0.068286,-0.0712834,-0.0521451,-0.119196,0.0454556
31,-1.07123,0.828284,0.553734,3.0,7.0,0.0,13.4901,-0.0513566,0.138181,-0.0824007,-0.0272884,-0.021021,-0.087037,0.0325618,-0.188426,-0.036602,0.040011,0.0474209,0.011579,0.00686104,-0.0613884,-0.0932173,-0.0799388,0.0379616,-0.00967905
32,-4.65028,0.651645,0.553734,3.0,7.0,0.0,15.9761,-0.535309,-0.0741512,-0.0680738,-0.0365413,0.0792678,0.0692085,-0.020956,-0.0946148,-0.0680751,-0.410709,0.00628968,-0.0618089,0.0814616,-0.102419,-0.20025,-0.00806606,0.0548506,0.0668161
33,-4.02941,0.947875,0.553734,3.0,7.0,0.0,12.0877,-0.447156,0.187133,0.0853638,-0.0482266,-0.0478859,-0.190678,0.0638924,-0.00140263,0.0358126,-0.144351,0.0163321,0.0296906,0.031414,-0.0447474,-0.0384786,-0.0767538,-0.114503,0.0147488
34,-8.0602,0.916773,0.553734,3.0,7.0,0.0,15.6731,-0.260957,0.0726901,-0.0140416,-0.0346054,0.106218,0.0129599,-0.0222213,-0.0871616,-0.00014873,-0.234827,0.0681005,-0.0330946,-0.114291,-0.00213874,-0.266293,-0.0594626,-0.0263809,0.190179
35,-8.44708,1.0,0.553734,3.0,7.0,0.0,18.6558,-0.0253092,0.0523447,-0.0659179,0.0570488,-0.000699006,0.0731376,-0.0904283,-0.139911,-0.0474695,-0.253776,0.0440344,0.131987,-0.125074,-0.0406381,-0.102278,0.00030783,-0.00236322,0.0814421
36,-1.15185,1.0,0.553734,3.0,7.0,0.0,13.9357,-0.192818,0.0518274,0.0641391,-0.121048,0.0477608,-0.0842103,0.038163,-0.047888,-0.0304648,-0.125795,0.0927155,-0.0709465,0.101726,-0.0640098,-0.109743,-0.163154,-0.0665605,0.152217
37,-4.74068,0.876664,0.553734,3.0,7.0,0.0,10.3984,-0.250082,0.0649419,0.0178777,-0.0420215,0.052531,-0.0502506,0.128078,-0.087316,-0.0338312,-0.389447,0.0239254,0.0791105,0.056169,-0.078543,0.104233,-0.151408,-0.0724059,0.0766586
38,-7.3181,0.748486,0.553734,3.0,7.0,0.0,16.8884,-0.310653,0.0297871,0.00444053,-0.0579878,-0.0234372,-0.0560391,-0.0565921,-0.0500954,-0.0387186,-0.130922,0.00543298,-0.138161,0.0856234,-0.0785089,-0.339094,0.0427385,0.0451727,-0.0655276
39,-1.57368,0.993638,0.553734,3.0,7.0,0.0,12.0021,-0.0726225,0.185634,0.087398,-0.0736028,-0.0314576,-0.0283066,-0.0169375,-0.0948145,-0.0126836,-0.49645,-0.0336409,0.0618922,0.00143517,-0.0232609,-0.0356508,-0.0835347,-0.0221437,0.00657246
40,-2.43525,0.729448,0.553734,3.0,7.0,0.0,12.4535,-0.339579,0.0381196,-0.018115,0.0315879,-0.0669851,-0.00816517,0.101851,-0.049029,-0.0432459,0.023259,0.0564222,0.0193276,0.152448,-0.210233,-0.114391,-0.0725631,-0.0153447,0.0477146
41,-7.29702,0.620632,0.553734,3.0,7.0,0.0,16.1009,-0.148063,0.173024,-0.00421907,-0.0519048,0.0525167,-0.129112,0.148159,-0.0565693,0.0640205,-0.568637,0.0551404,0.0866447,0.0886419,0.0148085,-0.21854,0.0718974,-0.0441328,0.0155786
42,-10.4014,0.787843,0.553734,3.0,7.0,0.0,18.3193,-0.450093,-0.0451989,-0.0551463,-0.015112,-0.00200173,0.00950463,-0.0519547,-0.0698459,-0.0368326,-0.00600221,-0.058366,-0.163733,-0.0492693,-0.141416,0.12496,-0.0754977,0.0390486,0.0713757
43,-4.89462,0.973768,0.553734,3.0,7.0,0.0,16.8084,0.082461,0.150333,0.0596893,0.0511218,0.0033457,-0.0705385,0.0511377,-0.0511787,-0.107252,-0.419505,0.0861574,0.063283,0.123759,-0.0522856,-0.241352,-0.119305,-0.0328637,0.0640082
44,-3.75343,0.97907,0.553734,3.0,7.0,0.0,13.5664,-0.0572929,0.0396595,-0.0954851,0.0798381,-0.0541626,0.00812418,0.125665,0.00208422,-0.093507,-0.236915,-0.0312044,0.0296635,0.121546,-0.0904332,-0.0999285,-0.026185,0.0377966,0.00675811
45,-3.35306,0.960762,0.553734,3.0,7.0,0.0,10.0472,-0.521369,0.061652,0.0927746,-0.148599,0.0594904,-0.100728,-0.0589804,-0.143777,0.0751894,-0.380224,0.0750601,-0.110423,-0.00592852,-0.0537774,-0.0752673,-0.0692679,-0.0392463,0.0668212
46,-8.49405,0.918482,0.553734,3.0,7.0,0.0,12.2564,0.10243,0.0861983,-0.0290064,0.147922,0.021145,-0.003415,0.105744,-0.0220114,-0.0991847,0.00945608,0.0043321,0.0939824,0.0723115,-0.239211,-0.0380123,-0.0285667,-0.0450109,-0.0201623
47,-12.0594,0.953958,0.553734,3.0,7.0,0.0,19.123,0.00148996,0.0813454,-0.104793,0.151423,0.0787923,-0.0203485,0.0600577,0.0236972,-0.109831,-0.142061,0.0265545,0.131524,0.109904,-0.248491,-0.0609291,-0.0469832,-0.0064718,-0.0762113
48,-5.785,0.972645,0.553734,3.0,7.0,0.0,18.4909,-0.228371,0.118149,-0.0977179,0.0931085,0.0463722,-0.0137626,0.0975073,-0.0638821,-0.0719124,-0.103895,-0.0343066,0.101558,0.0828282,-0.226087,-0.102989,-0.0379121,0.0109689,-0.00950333
49,-3.47694,0.903439,0.553734,3.0,7.0,0.0,15.2698,0.0301113,0.168811,-0.0522423,-0.0120243,0.0231497,-0.0233114,-0.0657827,-0.0470828,0.0418823,-0.0563599,0.0418208,0.0113026,0.157136,-0.0613109,-0.0648096,0.0535359,0.0147561,-0.0832101
50,-3.92349,0.865203,0.553734,3.0,7.0,0.0,14.7353,-0.169755,-0.043528,0.0725777,-0.0708782,0.0135452,-0.104533,0.137678,-0.0959528,-0.0744348,-0.610229,0.0445116,-0.0754243,-0.0199602,-0.0899553,-0.154197,-0.123166,-0.0776679,0.116054
51,-3.88245,0.736225,0.553734,3.0,7.0,0.0,18.749,-0.484158,0.125155,-0.0601137,-0.0260061,0.00318495,0.0328465,-0.0611089,-0.0466132,-0.00682951,0.157939,0.0259424,0.0771675,0.120643,-0.0825026,-0.0616243,0.00561806,0.0633918,-0.0528585
52,-4.41064,0.968502,0.553734,3.0,7.0,0.0,11.3555,-0.482233,0.0887888,-0.0316727,0.131095,-0.0119492,-0.028169,-0.033345,-0.0616403,0.0755455,-0.0687601,0.0119815,0.0300668,0.100443,-0.133393,-0.0231407,-0.0567306,0.085676,0.0339661
53,-10.1695,0.744111,0.553734,3.0,7.0,0.0,19.1732,-0.250871,-0.012981,-0.116495,-0.154471,0.0595245,-0.0986331,0.13711,-0.161109,-0.0816817,-0.322876,0.0333641,-0.000929759,-0.0216476,0.102441,-0.192676,0.00899759,-0.066001,-0.081159
54,-7.16703,0.785909,0.553734,3.0,7.0,0.0,25.1561,-0.0572306,0.12751,0.0977703,0.0323408,-0.0532645,0.0260372,-0.0898692,0.0133031,0.0554231,-0.125662,0.00588636,0.024228,0.0994774,-0.217007,-0.0313171,-0.123862,0.052321,0.122683
55,-5.22816,0.623251,0.553734,3.0,7.0,0.0,18.9287,0.230266,-0.0388025,0.0316257,-0.181561,0.0063719,-0.0859917,0.185286,-0.138716,-0.0545495,-0.433458,0.0384579,-0.0389745,0.107691,-0.0466864,-0.139402,-0.0185492,-0.0563611,-0.036642
56,-4.90064,0.923584,0.553734,3.0,7.0,0.0,13.598,-0.808345,0.0917433,0.0306514,-0.0442745,0.151184,-0.105036,-0.00158183,-0.105549,-0.135489,-0.436009,-0.0511345,-0.0119386,0.0443724,-0.0777466,-0.108462,-0.109222,-0.0242389,0.0391787
57,-5.04401,0.915191,0.553734,3.0,7.0,0.0,13.4225,-0.683554,0.00257822,-0.0163527,-0.111526,0.0771607,-0.0824299,0.0192969,-0.238215,0.0297395,-0.0432366,0.111309,0.0366215,0.059852,-0.114253,-0.0817378,-0.0927551,0.00627162,-0.0478254
58,-13.8951,0.655296,0.553734,3.0,7.0,0.0,22.4059,0.253627,0.0321364,-0.0429774,0.0805236,0.0295774,0.0617954,0.0261801,0.0823564,-0.0523084,-0.373554,-0.0431308,-0.0101378,-0.0104775,-0.105578,0.00091143,-0.0320938,0.223845,-0.0466743
59,-3.13934,0.978009,0.553734,3.0,7.0,0.0,20.3716,-0.205637,0.0268297,0.00211021,-0.124436,0.0718614,-0.139984,0.0741712,-0.0347902,-0.108975,-0.424768,0.0899477,0.0187431,0.155916,-0.0687134,-0.173445,-0.0704862,-0.134445,0.0412507
60,-9.09382,0.736679,0.553734,3.0,7.0,0.0,16.9361,-0.588136,0.136838,0.0661219,-0.139213,-0.0788417,-0.269994,0.132768,-0.0655194,0.083762,-0.291529,-0.0224021,-0.026027,-0.0240075,-0.101227,-0.0902018,-0.0623006,0.046295,0.0136022
61,-6.96765,1.0,0.553734,3.0,7.0,0.0,17.6931,-0.638083,0.138153,0.0189884,-0.100281,-0.051027,-0.240875,0.0882959,-0.0660618,0.038723,0.00745585,0.0283522,-0.0504526,-0.0638903,-0.0563285,-0.0238961,-0.104868,0.0398008,0.0430016
62,-12.722,0.837308,0.553734,3.0,7.0,0.0,21.8208,-0.765866,0.0681591,-0.0879242,-0.0249424,0.0315088,-0.0908735,0.00779577,-0.125639,0.0232,-0.323323,0.0168227,-0.0396115,0.130668,0.0669401,-0.288955,-0.0628218,-0.0549326,0.213814
63,-9.99465,0.959957,0.553734,3.0,7.0,0.0,25.4479,0.161902,0.0453988,0.127728,-0.0363797,0.0191292,-0.0133165,0.0412564,0.0113995,-0.0542963,-0.469263,0.0776673,-0.00315781,0.0357647,-0.203721,0.093309,0.0189263,0.0257365,-0.141549
64,-10.6366,0.969253,0.553734,3.0,7.0,0.0,22.257,-0.506008,0.0282493,-0.139071,-0.0760249,-0.121951,-0.189749,0.0883758,-0.0595155,-0.0208651,0.0421556,-0.0191148,-0.0317731,0.100258,0.00984032,-0.217928,-0.164367,-0.0574763,0.160129
65,-3.93815,1.0,0.553734,3.0,7.0,0.0,18.574,0.109478,0.132686,0.0795278,-0.0189802,0.0520549,-0.0203544,0.0692119,-0.136201,-0.00990194,-0.334022,0.084479,0.0193961,0.0735782,-0.145135,0.0190616,0.0629839,-0.100403,-0.0438442
66,-3.06434,0.91235,0.553734,3.0,7.0,0.0,12.97,-0.440134,0.0912507,0.0437342,-0.19284,-0.0532589,-0.028345,-0.038984,-0.0440193,0.0744166,-0.456615,-0.0474633,-0.0695284,0.045544,-0.0194106,-0.158635,-0.0777807,0.0435436,0.0399325
67,-3.87984,0.983771,0.553734,3.0,7.0,0.0,9.73491,-0.654503,0.0669173,-0.0263773,0.0787308,0.0358573,-0.00901451,0.0444681,-0.111515,-0.0519181,0.122531,-0.0257888,0.017198,0.136166,-0.174014,-0.0764093,-0.0888304,-0.0917231,0.0349012
68,-7.87142,0.86838,0.553734,3.0,7.0,0.0,14.9223,0.34348,-0.0481173,0.120802,-0.0231305,-0.0856099,-0.142821,-0.0753222,-0.0248051,-0.0146729,-0.564573,0.0981468,-0.0614562,-0.0526804,-0.030376,-0.14171,-0.0891174,0.0772197,-0.0340488
69,-1.93391,0.954736,0.553734,3.0,7.0,0.0,13.4622,-0.649144,0.0430414,-0.0873742,-0.0284706,-0.00423388,-0.0246345,0.0409784,-0.10165,-0.0241406,0.191966,0.0104012,0.0416796,0.136606,-0.0907339,-0.125754,-0.0520936,-0.083468,0.0418318
70,-1.42352,0.924943,0.553734,3.0,7.0,0.0,9.01282,0.174207,0.0977247,-0.0422108,-0.0511831,-0.00715535,-0.0187298,-0.013322,-0.093715,-0.0742195,-0.796878,0.0137312,-0.0558527,0.0723003,-0.036135,-0.112405,-0.0411439,0.0444647,0.00519727
71,-8.63279,0.775566,0.553734,3.0,7.0,0.0,14.3289,-0.496258,-0.0315641,0.168162,0.0386668,-0.0159951,-0.0501791,-0.0999107,-0.0608912,0.163227,-0.62656,0.0809365,-0.0389719,0.109626,-0.14211,-0.117299,-0.0474589,-0.086276,-0.0365221
72,-5.56224,0.95852,0.553734,3.0,7.0,0.0,16.4431,0.211221,0.126171,-0.0977108,-0.077613,0.0603263,-0.0601506,0.124941,-0.0647917,-0.151391,0.0834601,0.00213429,-0.0320453,0.0318067,0.0136946,-0.0736377,-0.0782956,0.0303816,0.110005
73,-0.921441,0.906384,0.553734,3.0,7.0,0.0,15.9521,0.0160246,0.0755373,-0.126243,-0.106933,-0.0668241,-0.0737878,0.0915288,-0.0443291,-0.091664,-0.067462,0.00513959,-0.0172033,0.0346954,-0.0294794,-0.10162,-0.064797,-0.0199066,0.0384311
74,-4.11598,0.816938,0.553734,3.0,7.0,0.0,11.1389,-0.403899,0.0521288,0.132708,0.0970679,0.0193619,-0.0612189,0.0236113,-0.131154,-0.0131306,-0.408514,0.0239708,-0.0280114,0.0463786,-0.124908,-0.0439254,-0.108425,0.0395675,0.189069
75,-3.43336,0.852902,0.553734,3.0,7.0,0.0,13.619,-0.646605,2.99557e-05,-0.0871957,-0.0606651,0.0642657,0.00410602,0.0587974,-0.0660795,-0.0934136,-0.0966848,0.0771574,-0.0159063,0.0104399,-0.172099,-0.0872751,-0.0339531,-0.0751811,-0.0616681
76,-7.97141,0.862711,0.553734,3.0,7.0,0.0,13.0711,-0.532883,0.12013,0.152701,-0.0566963,0.0253592,-0.172569,0.034663,-0.0460382,0.120147,-0.538132,-0.0962304,-0.00982185,0.0266434,0.00515491,-0.156231,-0.119657,0.00170591,0.120545
77,-7.75228,0.979799,0.553734,3.0,7.0,0.0,15.4825,0.16792,-0.0178375,-0.132599,-0.0326455,0.0139156,0.0579673,0.012748,-0.117329,-0.160197,0.0833292,0.123263,-0.0345781,0.114508,-0.146634,-0.0359451,0.0317769,-0.0390066,-0.0279549
78,-6.45546,1.0,0.553734,3.0,7.0,0.0,16.0395,-0.426333,0.147081,0.163997,-0.0168639,0.0335836,-0.0920273,0.066139,-0.0195754,0.0878782,-0.578595,-0.0804233,-0.0538434,0.0235182,-0.0100135,-0.188013,-0.142667,0.016603,0.0699587
79,-10.5119,0.889965,0.553734,3.0,7.0,0.0,20.4061,0.0813848,0.00748243,0.0240792,-0.0177305,-0.127281,0.0362756,-0.0397496,-0.171216,-0.162292,-0.214753,0.0612623,-0.10218,0.145887,-0.131508,0.0558262,-0.0401359,-0.12885,0.0600931
80,-10.6289,0.985023,0.553734,3.0,7.0,0.0,17.3004,-0.365325,0.133307,0.0109371,-0.0639143,0.145129,-0.138563,0.0777851,0.0128731,0.132134,-0.178806,-0.0368939,0.0817139,-0.00855863,-0.023478,-0.256749,-0.0597319,0.136854,-0.0201401
81,-7.22167,0.965913,0.553734,3.0,7.0,0.0,17.1611,-0.0656762,0.0361245,-0.00462774,-0.0615583,-0.0813989,0.0310332,-0.0323997,-0.135829,-0.125224,-0.238177,0.0721407,-0.0908082,0.10523,-0.112343,0.026635,-0.0361784,-0.197843,0.0719066
82,-2.58943,0.994624,0.553734,3.0,7.0,0.0,13.2221,-0.525759,0.131889,-0.000786116,-0.0740004,0.115168,-0.202866,0.0484847,-0.0483809,-0.0867405,-0.110355,0.0245133,0.00836623,0.0232858,-0.0548103,-0.158873,-0.100694,-0.0179362,-0.0019548
83,-9.66976,0.726988,0.553734,3.0,7.0,0.0,16.5625,-0.44965,-0.0321763,-0.0767601,-0.0467518,-0.0917112,-0.134719,0.0206103,-0.0120898,0.156461,-0.322243,0.0763117,0.0574913,-0.00742606,-0.13469,0.00916955,0.073151,-0.0298197,-0.0846629
84,-5.10713,0.898444,0.553734,3.0,7.0,0.0,20.3116,-0.178446,0.0599682,0.00148593,-0.0349922,-0.0265714,-0.265914,-0.034915,-0.0378244,0.0114822,-0.399774,-0.0906095,-0.06873,-0.0200918,-0.110352,-0.152077,0.0162479,-0.0504764,0.0269084
85,-3.13339,0.753169,0.553734,3.0,7.0,0.0,22.9689,-0.0697438,0.0952237,-0.012213,-0.0291787,0.0797136,0.0856516,0.0368417,-0.0392777,-0.0536955,-0.121307,0.0960804,0.0351435,0.166275,0.00134344,-0.030565,-0.136996,-0.0413807,0.0132246
86,-5.01026,0.713502,0.553734,3.0,7.0,0.0,15.6511,0.0653541,0.0385653,0.0546835,-0.0303469,-0.0705522,-0.219539,0.0224662,-0.0277011,0.0100385,-0.532487,0.0911196,-0.0499265,-0.0358951,-0.152956,-0.158437,0.0432257,-0.0145485,0.0730781
87,-3.70173,0.838535,0.553734,3.0,7.0,0.0,18.5173,0.0689794,0.0980413,0.105167,0.00440754,-0.0203926,-0.182116,0.0429748,-0.00143916,-0.0054302,-0.522933,0.0260594,-0.0506702,0.08308,-0.0937886,-0.23359,-0.00131376,-0.0280086,0.0971585
88,-2.92497,0.981962,0.553734,3.0,7.0,0.0,10.762,-0.383566,0.0583074,-0.055628,-0.0988697,0.0656127,0.0398219,-0.0167454,-0.135928,0.0030969,-0.019808,0.0477653,-0.0187084,0.034818,-0.0138401,0.0141207,-0.11109,0.0132129,-0.0610657
89,-5.68086,0.885182,0.553734,3.0,7.0,0.0,12.3519,-0.0195733,0.10772,-0.0191444,-0.0908648,0.0457496,0.0581091,0.11677,0.0374932,0.131379,-0.156645,0.0446083,-0.026543,0.0962522,-0.0130235,-0.00802721,-0.0250692,-0.0388697,-0.0994627
90,-3.71045,0.97964,0.553734,3.0,7.0,0.0,12.3564,-0.150098,0.0330524,0.0442834,0.00335551,-0.0216829,-0.138294,-0.0361284,-0.183605,-0.139479,-0.280479,0.034713,0.00440132,0.0469234,-0.120846,-0.154881,-0.0488201,0.00407507,0.155127
91,-3.24966,1.0,0.553734,3.0,7.0,0.0,10.1019,-0.256728,0.053772,0.0397527,-0.106385,0.087651,-0.0212525,0.0556968,0.0159319,0.112644,-0.36833,0.00959411,-0.042589,-0.0478685,-0.0382369,-0.0711038,0.0175519,-0.0932076,-0.055153
92,-2.51745,0.879485,0.553734,3.0,7.0,0.0,12.8321,-0.10194,0.063063,0.00453869,0.0641866,0.115391,-0.0562025,-0.0177931,-0.142404,-0.0803449,-0.22136,0.00450607,-0.0254781,0.0348964,-0.225524,-0.0222998,-0.0723446,0.020364,0.0400885
93,-10.2083,0.595229,0.553734,3.0,7.0,0.0,20.1997,-0.447989,0.0970532,-0.072935,-0.196275,-0.0135694,-0.0384583,-0.0208275,0.137357,0.0132538,-0.235009,-0.0692296,0.0249702,0.134757,0.0780158,-0.0826331,0.0439333,-0.0451715,0.0588146
